region,location,name,population,pop_active_duty,pop_active_duty_fam,pop_civilian,pop_contract,pop_retired,pop_retired_fam,pop_resrv_ntgrd
CONUS,Alabama,Anniston Army Depot,"<div class=""section-text"">
<p>ANAD's workforce includes Active Duty Officers, DoD Civilian Employees, Tenant Employees, Contract Employees, and NAF Employees. 4,316 Depot Employees.</p>
</div>",NA,NA,NA,NA,NA,NA,NA
CONUS,Alabama,Fort Rucker,"<div class=""section-text"">
<ul>
<li>Post Population: 20,210</li>
  <li>Military: 5,009</li>
  <li>Civilian: 10,104</li>
  <li>Military Family Members: 5,097</li>
</ul>
<p>Fort Rucker, AL has a population of 4,681 and is the 6,757th largest city in the United States. The population density is 431 per sq mi which is 368% higher than the Alabama average and 376% higher than the national average. The median age in Fort Rucker is 23 which is approximately 39% lower than the Alabama average of 39. In Fort Rucker, 63% of the population over 15 years of age are married, 92% speak English and 7% speak Spanish. 12% of Fort Rucker residents were born in Alabama, 80% were born out of state, 5% were born outside of the United States and 3% were foreign born.</p>
</div>",5009,5097,10104,NA,NA,NA,NA
CONUS,Alabama,Maxwell AFB and Gunter Annex,<div />,NA,NA,NA,NA,NA,NA,NA
CONUS,Alabama,Redstone Arsenal,"<div class=""section-text""><p>The current population within a 40-mile radius includes 850 Active Duty  35,500 plus Department of Defense Civilians and contractors, 15,000 Retirees and Family Members.</p></div>",850,NA,35500,NA,15000,NA,NA
CONUS,Alabama,"USAREC, 2nd Medical Recruiting Battalion",<div />,NA,NA,NA,NA,NA,NA,NA
CONUS,Alabama,"USAREC, Montgomery Battalion",<div />,NA,NA,NA,NA,NA,NA,NA
CONUS,Arizona,Davis-Monthan AFB,"<div class=""section-text""><ul>
<li>355th Wing =  5,600</li>
  <li>Base Population Supported = 11,100</li>
</ul></div> <br/> <div class=""section-text""><p>Davis-Monthan AFB is located in Tucson, AZ.   Tucson is the second largest city in Arizona located in the diverse Sonoran Desert region of the Southwestern United States.  Tucson has about 545,975 (2018) people, and is in Pima County. Other nearby small communities include Marana, Oro Valley, Vail, Sahuarita, and Green Valley.  Tucson is located 108 miles southeast of Phoenix and 60 miles north of the U.S. - Mexico border. <br><br>It is about 7 miles from downtown Tucson to Davis-Monthan; this takes about 14 minutes to commute, but the metro area is large and travel times can vary significantly. The average commute in Tucson is about 21 minutes.<br><br>Major local employers include Amazon, Raytheon Missile Systems, the University of Arizona, State of Arizona, Davis-Monthan AFB, Pima County, and Banner University Medical Center. There are also many local businesses, including dozens of businesses related to the optics industry, giving the area a nickname Optics Valley.</p></div>",NA,NA,NA,NA,NA,NA,NA
CONUS,Arizona,Fort Huachuca,"<div class=""section-text"">
<p>Fort Huachuca is a joint services installation training over 9,000 students a year. At any given time, we have over 5,600 Military, 8,000 Civilians and over 11,000 family members.</p>
</div>",5600,11000,11000,NA,NA,NA,NA
CONUS,Arizona,Luke AFB,"<div class=""section-text""><ul>
<li>Active Duty 4,800</li>
  <li>Reservists 1,700</li>
  <li>Civilians 800</li>
  <li>Family Members 6,700</li>
  <li>Retirees 65,000</li>
</ul></div> <br/> <div class=""section-text""><p>Luke AFB is located in Glendale which has a population of 250,702. Phoenix has over 1.6 million residents. Maricopa County is the largest county in Arizona by population, which is home to 4.3 million of the state's 7.17 million people.</p></div>",4800,6700,800,NA,65000,NA,1700
CONUS,Arizona,MCAS Yuma,"<div class=""section-text""><p>6592 military, 5531 Family members, 2651 Civilians 5000 transients</p></div>",6592,5531,5000,NA,NA,NA,NA
CONUS,Arizona,"USAREC, Phoenix Battalion",<div />,NA,NA,NA,NA,NA,NA,NA
CONUS,Arizona,Yuma Proving Ground,"<div class=""section-text"">
<p>Total population is approximately 11,757</p>
</div>",NA,NA,NA,NA,NA,NA,NA
CONUS,Arkansas,Little Rock AFB,"<div class=""section-text""><ul>
<li>6,995 military members</li>
  <li>5,582 family members</li>
  <li>1,316 civilians</li>
</ul></div> <br/> <div class=""section-text""><p>Little Rock-North Little Rock-Conway metro: 729,135; Jacksonville: 28,513; Cabot: 26,141.</p></div>",6995,5582,1316,NA,NA,NA,NA
CONUS,Arkansas,Pine Bluff Arsenal,"<div class=""section-text"">
<p>The Pine Bluff Arsenal is a very small installation. Our population is primarily DOD civilians.</p>
</div>",NA,NA,NA,NA,NA,NA,NA
